[140, 'angularjs', 'application_and_data', 'Libraries', 'Javascript UI Libraries', 'https://stackshare.io/angularjs']
[141, 'jquery ui', 'application_and_data', 'Libraries', 'Javascript UI Libraries', 'https://stackshare.io/jquery-ui']
[142, 'vue.js', 'application_and_data', 'Libraries', 'Javascript UI Libraries', 'https://stackshare.io/vue-js']
[143, 'select2', 'application_and_data', 'Libraries', 'Javascript UI Libraries', 'https://stackshare.io/select2']
[144, 'prototype', 'application_and_data', 'Libraries', 'Javascript UI Libraries', 'https://stackshare.io/prototype']
[145, 'yui library', 'application_and_data', 'Libraries', 'Javascript UI Libraries', 'https://stackshare.io/yui']
[146, 'create react app', 'application_and_data', 'Libraries', 'Javascript UI Libraries', 'https://stackshare.io/create-react-app']
[147, 'svelte', 'application_and_data', 'Libraries', 'Javascript UI Libraries', 'https://stackshare.io/svelte']
[148, 'flux', 'application_and_data', 'Libraries', 'Javascript UI Libraries', 'https://stackshare.io/flux']
[149, 'react.js boilerplate', 'application_and_data', 'Libraries', 'Javascript UI Libraries', 'https://stackshare.io/react-boilerplate']
[150, 'zepto', 'application_and_data', 'Libraries', 'Javascript UI Libraries', 'https://stackshare.io/zepto']
[151, 'kendo ui', 'application_and_data', 'Libraries', 'Javascript UI Libraries', 'https://stackshare.io/kendo-ui']
[152, 'semantic ui react', 'application_and_data', 'Libraries', 'Javascript UI Libraries', 'https://stackshare.io/semantic-ui-react']
[153, 'knockout', 'application_and_data', 'Libraries', 'Javascript UI Libraries', 'https://stackshare.io/knockout']
